"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Chemical & Biomedical Engineering","2023-03",9641.5,2023-03-01
"Chemical & Biomedical Engineering","2023-04",4194.17,2023-04-01
"Chemical & Biomedical Engineering","2023-05",14724.2,2023-05-01
"Chemical & Biomedical Engineering","2023-06",24826.94,2023-06-01
"Chemical & Biomedical Engineering","2023-07",33629.26,2023-07-01
"Chemical & Biomedical Engineering","2023-08",7890.7,2023-08-01
"Chemical & Biomedical Engineering","2023-09",11423.7,2023-09-01
"Chemical & Biomedical Engineering","2023-10",8362.29,2023-10-01
"Chemical & Biomedical Engineering","2023-11",11636.25,2023-11-01
"Chemical & Biomedical Engineering","2023-12",11846.65,2023-12-01
"Chemical & Biomedical Engineering","2024-01",8366.98,2024-01-01
"Chemical & Biomedical Engineering","2024-02",10970.78,2024-02-01
"Chemical & Biomedical Engineering","2024-03",8558.97,2024-03-01
"Chemical & Biomedical Engineering","2024-04",10751.5,2024-04-01
"Chemical & Biomedical Engineering","2024-05",27741.44,2024-05-01
"Chemical & Biomedical Engineering","2024-06",41118.13,2024-06-01
"Chemical & Biomedical Engineering","2024-07",33979.02,2024-07-01
"Chemical & Biomedical Engineering","2024-08",25745.03,2024-08-01
"Chemical & Biomedical Engineering","2024-09",21386.02,2024-09-01
"Chemical & Biomedical Engineering","2024-10",21064.89,2024-10-01
"Chemical & Biomedical Engineering","2024-11",18698.13,2024-11-01
"Chemical & Biomedical Engineering","2024-12",15779.74,2024-12-01
"Chemical & Biomedical Engineering","2025-01",15832.9,2025-01-01
"Chemical & Biomedical Engineering","2025-02",28578.23,2025-02-01
"Chemical & Biomedical Engineering","2025-03",17449.91,2025-03-01
"Chemical & Biomedical Engineering","2025-04",7503.5,2025-04-01
"Chemical & Biomedical Engineering","2025-05",29528.71,2025-05-01
"Chemistry","2021-07",32840.12,2021-07-01
"Chemistry","2021-08",24226.84,2021-08-01
"Chemistry","2021-09",28099,2021-09-01
"Chemistry","2021-10",20650.94,2021-10-01
"Chemistry","2021-11",24635.4,2021-11-01
"Chemistry","2021-12",16681.48,2021-12-01
"Chemistry","2022-01",17448.23,2022-01-01
"Chemistry","2022-02",25938.53,2022-02-01
"Chemistry","2022-03",20424.04,2022-03-01
"Chemistry","2022-04",18973.42,2022-04-01
"Chemistry","2022-05",39636.39,2022-05-01
"Chemistry","2022-06",53405.79,2022-06-01
"Chemistry","2022-07",58508,2022-07-01
"Chemistry","2022-08",29906.09,2022-08-01
"Chemistry","2022-09",26473.63,2022-09-01
"Chemistry","2022-10",21134.59,2022-10-01
"Chemistry","2022-11",18285.23,2022-11-01
"Chemistry","2022-12",22664.24,2022-12-01
"Chemistry","2023-01",19459.16,2023-01-01
"Chemistry","2023-02",24584.21,2023-02-01
"Chemistry","2023-03",29243.49,2023-03-01
"Chemistry","2023-04",24021.8,2023-04-01
"Chemistry","2023-05",47580.63,2023-05-01
"Chemistry","2023-06",66195.95,2023-06-01
"Chemistry","2023-07",41302.01,2023-07-01
"Chemistry","2023-08",42719.14,2023-08-01
"Chemistry","2023-09",29564.04,2023-09-01
"Chemistry","2023-10",25583.59,2023-10-01
"Chemistry","2023-11",35516.51,2023-11-01
"Chemistry","2023-12",25708.3,2023-12-01
"Chemistry","2024-01",20469.13,2024-01-01
"Chemistry","2024-02",42898.63,2024-02-01
"Chemistry","2024-03",26621.46,2024-03-01
"Chemistry","2024-04",24071.77,2024-04-01
"Chemistry","2024-05",68091.82,2024-05-01
"Chemistry","2024-06",38356.91,2024-06-01
"Chemistry","2024-07",48024.28,2024-07-01
"Chemistry","2024-08",46729.57,2024-08-01
"Chemistry","2024-09",34502.84,2024-09-01
"Chemistry","2024-10",23696.16,2024-10-01
"Chemistry","2024-11",31736.11,2024-11-01
"Chemistry","2024-12",22823.9,2024-12-01
"Chemistry","2025-01",19959.13,2025-01-01
"Chemistry","2025-02",19919.67,2025-02-01
"Chemistry","2025-03",19454.05,2025-03-01
"Chemistry","2025-04",18382.17,2025-04-01
"Chemistry","2025-05",36193.7,2025-05-01
"Chemistry","2025-06",320.2,2025-06-01
"Civil & Architectural Engineering & Construction Management","2021-07",91596.6,2021-07-01
"Civil & Architectural Engineering & Construction Management","2021-08",84366.85,2021-08-01
"Civil & Architectural Engineering & Construction Management","2021-09",48877.11,2021-09-01
"Civil & Architectural Engineering & Construction Management","2021-10",46458.56,2021-10-01
"Civil & Architectural Engineering & Construction Management","2021-11",35328.4,2021-11-01
"Civil & Architectural Engineering & Construction Management","2021-12",43875.3,2021-12-01
"Civil & Architectural Engineering & Construction Management","2022-01",37633.24,2022-01-01
"Civil & Architectural Engineering & Construction Management","2022-02",35175.38,2022-02-01
"Civil & Architectural Engineering & Construction Management","2022-03",30763.03,2022-03-01
"Civil & Architectural Engineering & Construction Management","2022-04",27571.59,2022-04-01
"Civil & Architectural Engineering & Construction Management","2022-05",59827.86,2022-05-01
"Civil & Architectural Engineering & Construction Management","2022-06",54796.25,2022-06-01
"Civil & Architectural Engineering & Construction Management","2022-07",54627.96,2022-07-01
"Civil & Architectural Engineering & Construction Management","2022-08",34081.86,2022-08-01
"Civil & Architectural Engineering & Construction Management","2022-09",29353.61,2022-09-01
"Civil & Architectural Engineering & Construction Management","2022-10",16414.25,2022-10-01
"Civil & Architectural Engineering & Construction Management","2022-11",17422.16,2022-11-01
"Civil & Architectural Engineering & Construction Management","2022-12",24994.7,2022-12-01
"Civil & Architectural Engineering & Construction Management","2023-01",21626.41,2023-01-01
"Civil & Architectural Engineering & Construction Management","2023-02",24412.19,2023-02-01
"Civil & Architectural Engineering & Construction Management","2023-03",33654.8,2023-03-01
"Civil & Architectural Engineering & Construction Management","2023-04",25550.13,2023-04-01
"Civil & Architectural Engineering & Construction Management","2023-05",68732.12,2023-05-01
"Civil & Architectural Engineering & Construction Management","2023-06",40160.22,2023-06-01
"Civil & Architectural Engineering & Construction Management","2023-07",52161.99,2023-07-01
"Civil & Architectural Engineering & Construction Management","2023-08",26446.64,2023-08-01
"Civil & Architectural Engineering & Construction Management","2023-09",27630.49,2023-09-01
"Civil & Architectural Engineering & Construction Management","2023-10",25037.6,2023-10-01
"Civil & Architectural Engineering & Construction Management","2023-11",21849.99,2023-11-01
"Civil & Architectural Engineering & Construction Management","2023-12",-16638.71,2023-12-01
"Civil & Architectural Engineering & Construction Management","2024-01",26190.71,2024-01-01
"Civil & Architectural Engineering & Construction Management","2024-02",26483.12,2024-02-01
"Civil & Architectural Engineering & Construction Management","2024-03",14011.88,2024-03-01
"Civil & Architectural Engineering & Construction Management","2024-04",38265.3,2024-04-01
"Civil & Architectural Engineering & Construction Management","2024-05",122236.62,2024-05-01
"Civil & Architectural Engineering & Construction Management","2024-06",91945.98,2024-06-01
"Civil & Architectural Engineering & Construction Management","2024-07",104277.92,2024-07-01
"Civil & Architectural Engineering & Construction Management","2024-08",106973.22,2024-08-01
"Civil & Architectural Engineering & Construction Management","2024-09",71939.15,2024-09-01
"Civil & Architectural Engineering & Construction Management","2024-10",51078.99,2024-10-01
"Civil & Architectural Engineering & Construction Management","2024-11",42776.38,2024-11-01
"Civil & Architectural Engineering & Construction Management","2024-12",39927.37,2024-12-01
"Civil & Architectural Engineering & Construction Management","2025-01",35805.84,2025-01-01
"Civil & Architectural Engineering & Construction Management","2025-02",23138.79,2025-02-01
"Civil & Architectural Engineering & Construction Management","2025-03",21432.25,2025-03-01
"Civil & Architectural Engineering & Construction Management","2025-04",23749.13,2025-04-01
"Civil & Architectural Engineering & Construction Management","2025-05",38017.79,2025-05-01
"Civil & Architectural Engineering & Construction Management","2025-06",2225.24,2025-06-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2023-09",4.02,2023-09-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-03",4756,2024-03-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-04",8584.03,2024-04-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-07",691.27,2024-07-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-08",1531.51,2024-08-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-09",1260.4,2024-09-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-10",2317.58,2024-10-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-11",178.79,2024-11-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2024-12",142.18,2024-12-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-01",662.94,2025-01-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-02",47.98,2025-02-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-03",490.8,2025-03-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-04",178.04,2025-04-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-05",3056.13,2025-05-01
"College of Agriculture, Life Sciences & Natural Resources Deans Office","2025-06",739.8,2025-06-01
"College of Business Deans Office","2023-08",1643.74,2023-08-01
"College of Business Deans Office","2023-09",457.99,2023-09-01
"College of Business Deans Office","2023-10",549.83,2023-10-01
"College of Business Deans Office","2023-11",448.13,2023-11-01
"College of Business Deans Office","2023-12",290.13,2023-12-01
"College of Business Deans Office","2024-01",261.12,2024-01-01
"College of Business Deans Office","2024-02",1107.96,2024-02-01
"College of Business Deans Office","2024-03",264.28,2024-03-01
"College of Business Deans Office","2024-04",261.12,2024-04-01
"College of Business Deans Office","2024-05",2233.72,2024-05-01
"College of Business Deans Office","2024-06",1549.62,2024-06-01
"College of Education Deans Office","2021-08",1668.4,2021-08-01
"College of Education Deans Office","2021-09",1375.43,2021-09-01
"College of Education Deans Office","2021-10",4052.29,2021-10-01
"College of Education Deans Office","2021-11",538.96,2021-11-01
"College of Education Deans Office","2021-12",3774.08,2021-12-01
"College of Education Deans Office","2022-01",4122.88,2022-01-01
"College of Education Deans Office","2022-02",5172.26,2022-02-01
"College of Education Deans Office","2022-03",-15270.04,2022-03-01
"College of Education Deans Office","2022-04",1769.55,2022-04-01
"College of Education Deans Office","2022-05",118.73,2022-05-01
"College of Education Deans Office","2022-06",4461.48,2022-06-01
"College of Education Deans Office","2022-07",7808.07,2022-07-01
"College of Education Deans Office","2022-08",5520.17,2022-08-01
"College of Education Deans Office","2022-09",440.78,2022-09-01
"College of Education Deans Office","2022-10",479.99,2022-10-01
"College of Education Deans Office","2022-11",474.48,2022-11-01
"College of Education Deans Office","2022-12",11834.75,2022-12-01
"College of Education Deans Office","2023-01",52.18,2023-01-01
"College of Education Deans Office","2023-02",352.55,2023-02-01
"College of Education Deans Office","2023-03",434.47,2023-03-01
"College of Education Deans Office","2023-04",1050.64,2023-04-01
"College of Education Deans Office","2023-05",11380.04,2023-05-01
"College of Education Deans Office","2023-06",43809.74,2023-06-01
"College of Education Deans Office","2023-07",8210.27,2023-07-01
"College of Education Deans Office","2023-08",2575.5,2023-08-01
"College of Education Deans Office","2023-09",633.31,2023-09-01
"College of Education Deans Office","2023-10",503.85,2023-10-01
"College of Education Deans Office","2023-11",614.14,2023-11-01
"College of Education Deans Office","2023-12",408.25,2023-12-01
"College of Education Deans Office","2024-01",405.34,2024-01-01
"College of Education Deans Office","2024-02",417.21,2024-02-01
"College of Education Deans Office","2024-03",1911.23,2024-03-01
"College of Education Deans Office","2024-04",1009.84,2024-04-01
"College of Education Deans Office","2024-05",1359.76,2024-05-01
"College of Education Deans Office","2024-06",952.59,2024-06-01
"College of Education Deans Office","2024-07",1139.3,2024-07-01
"College of Education Deans Office","2024-08",660.35,2024-08-01
"College of Education Deans Office","2024-09",882.24,2024-09-01
"College of Education Deans Office","2024-10",528.22,2024-10-01
"College of Education Deans Office","2024-11",900.11,2024-11-01
"College of Education Deans Office","2024-12",481.92,2024-12-01
"College of Education Deans Office","2025-01",635.08,2025-01-01
"College of Education Deans Office","2025-02",836.84,2025-02-01
"College of Education Deans Office","2025-03",994.12,2025-03-01
"College of Education Deans Office","2025-04",721.79,2025-04-01
"College of Education Deans Office","2025-05",768.39,2025-05-01
"College of Education Deans Office","2025-06",3.53,2025-06-01
"Communication Disorders","2021-07",101.57,2021-07-01
"Communication Disorders","2021-08",139.54,2021-08-01
"Communication Disorders","2021-09",1080.4,2021-09-01
"Communication Disorders","2021-10",1123.64,2021-10-01
"Communication Disorders","2021-11",1054.78,2021-11-01
"Communication Disorders","2021-12",1409.14,2021-12-01
"Communication Disorders","2022-01",41.63,2022-01-01
"Communication Disorders","2022-02",22.42,2022-02-01
"Communication Disorders","2024-08",2645.59,2024-08-01
"Communication Disorders","2024-11",160.4,2024-11-01
"Communication Disorders","2024-12",137.9,2024-12-01
"Communication Disorders","2025-01",6608.36,2025-01-01
"Communication Disorders","2025-02",3736.38,2025-02-01
"Communication Disorders","2025-03",1821.58,2025-03-01
"Communication Disorders","2025-04",2024.39,2025-04-01
"Communication Disorders","2025-05",1450.64,2025-05-01
"Counseling Leadership Advocacy & Design","2021-07",416.29,2021-07-01
"Counseling Leadership Advocacy & Design","2021-08",2224.29,2021-08-01
"Counseling Leadership Advocacy & Design","2021-09",-1268.2,2021-09-01
"Counseling Leadership Advocacy & Design","2021-10",677.74,2021-10-01
"Counseling Leadership Advocacy & Design","2021-11",457.46,2021-11-01
"Counseling Leadership Advocacy & Design","2021-12",457.46,2021-12-01
"Counseling Leadership Advocacy & Design","2022-01",457.46,2022-01-01
"Counseling Leadership Advocacy & Design","2022-02",662.76,2022-02-01
"Counseling Leadership Advocacy & Design","2022-03",704.93,2022-03-01
"Counseling Leadership Advocacy & Design","2022-04",457.46,2022-04-01
"Counseling Leadership Advocacy & Design","2022-05",659.23,2022-05-01
"Counseling Leadership Advocacy & Design","2022-06",1355.17,2022-06-01
"Counseling Leadership Advocacy & Design","2023-07",211.96,2023-07-01
"Counseling Leadership Advocacy & Design","2023-09",1171.61,2023-09-01
"Criminal Justice & Sociology","2021-07",0.25,2021-07-01
"Criminal Justice & Sociology","2022-07",2300.31,2022-07-01
"Criminal Justice & Sociology","2022-08",1132.54,2022-08-01
"Criminal Justice & Sociology","2022-09",219.74,2022-09-01
"Criminal Justice & Sociology","2022-10",617.6,2022-10-01
"Criminal Justice & Sociology","2022-11",388.54,2022-11-01
"Criminal Justice & Sociology","2022-12",466.29,2022-12-01
"Criminal Justice & Sociology","2023-01",320.04,2023-01-01
"Criminal Justice & Sociology","2023-02",273.04,2023-02-01
"Criminal Justice & Sociology","2023-03",416.25,2023-03-01
"Criminal Justice & Sociology","2023-04",410.96,2023-04-01
"Criminal Justice & Sociology","2023-05",997.95,2023-05-01
"Criminal Justice & Sociology","2023-06",1031.86,2023-06-01
"Criminal Justice & Sociology","2023-07",425.71,2023-07-01
"Criminal Justice & Sociology","2023-08",2910.95,2023-08-01
"Criminal Justice & Sociology","2023-09",531.74,2023-09-01
"Criminal Justice & Sociology","2023-10",453.95,2023-10-01
"Criminal Justice & Sociology","2023-11",445.7,2023-11-01
"Criminal Justice & Sociology","2023-12",593.23,2023-12-01
"Criminal Justice & Sociology","2024-01",2723.38,2024-01-01
"Criminal Justice & Sociology","2024-02",2774.11,2024-02-01
"Criminal Justice & Sociology","2024-03",2999.85,2024-03-01
"Criminal Justice & Sociology","2024-04",2882.11,2024-04-01
"Criminal Justice & Sociology","2024-05",3610.72,2024-05-01
"Criminal Justice & Sociology","2024-06",19350.86,2024-06-01
"Criminal Justice & Sociology","2024-07",699.06,2024-07-01
"Criminal Justice & Sociology","2024-08",12152.68,2024-08-01
"Criminal Justice & Sociology","2024-09",5393.2,2024-09-01
"Criminal Justice & Sociology","2024-10",4397.02,2024-10-01
"Criminal Justice & Sociology","2024-11",4937.83,2024-11-01
"Criminal Justice & Sociology","2024-12",5805.12,2024-12-01
"Criminal Justice & Sociology","2025-01",6303.68,2025-01-01
"Criminal Justice & Sociology","2025-02",6212.45,2025-02-01
"Criminal Justice & Sociology","2025-03",7128.23,2025-03-01
"Criminal Justice & Sociology","2025-04",6694.73,2025-04-01
"Criminal Justice & Sociology","2025-05",9327.39,2025-05-01
"Culture Gender & Social Justice","2021-07",1668.04,2021-07-01
"Culture Gender & Social Justice","2021-08",9278.5,2021-08-01
"Culture Gender & Social Justice","2021-09",2392.22,2021-09-01
"Culture Gender & Social Justice","2021-10",2295.39,2021-10-01
"Culture Gender & Social Justice","2021-11",2182.24,2021-11-01
"Culture Gender & Social Justice","2021-12",2182.24,2021-12-01
"Culture Gender & Social Justice","2022-01",2182.24,2022-01-01
"Culture Gender & Social Justice","2022-02",2182.24,2022-02-01
"Culture Gender & Social Justice","2022-03",2182.24,2022-03-01
"Culture Gender & Social Justice","2022-04",2558.6,2022-04-01
"Culture Gender & Social Justice","2022-05",2182.24,2022-05-01
"Culture Gender & Social Justice","2022-06",1579.71,2022-06-01
"Culture Gender & Social Justice","2022-07",1664.96,2022-07-01
"Culture Gender & Social Justice","2022-08",44.5,2022-08-01
"Culture Gender & Social Justice","2022-09",605.65,2022-09-01
"Culture Gender & Social Justice","2022-10",1535.2,2022-10-01
"Culture Gender & Social Justice","2022-11",1412.79,2022-11-01
"Culture Gender & Social Justice","2022-12",1375.05,2022-12-01
"Culture Gender & Social Justice","2023-01",1383.95,2023-01-01
"Culture Gender & Social Justice","2023-02",490.76,2023-02-01
"Culture Gender & Social Justice","2023-07",413.92,2023-07-01
"Culture Gender & Social Justice","2023-08",1343.01,2023-08-01
"Culture Gender & Social Justice","2023-09",2686.02,2023-09-01
"Culture Gender & Social Justice","2023-10",2313.18,2023-10-01
"Culture Gender & Social Justice","2023-11",1408.65,2023-11-01
"Culture Gender & Social Justice","2023-12",1621.25,2023-12-01
"Culture Gender & Social Justice","2024-01",10119.06,2024-01-01
"Culture Gender & Social Justice","2024-08",6720.5,2024-08-01
"EPSCoR/IDEA Office","2021-07",102459.37,2021-07-01
"EPSCoR/IDEA Office","2021-08",73235.54,2021-08-01
"EPSCoR/IDEA Office","2021-09",79258.39,2021-09-01
"EPSCoR/IDEA Office","2021-10",75386.83,2021-10-01
"EPSCoR/IDEA Office","2021-11",81946.21,2021-11-01
"EPSCoR/IDEA Office","2021-12",72832.62,2021-12-01
"EPSCoR/IDEA Office","2022-01",77895.69,2022-01-01
"EPSCoR/IDEA Office","2022-02",74982.99,2022-02-01
"EPSCoR/IDEA Office","2022-03",87387.64,2022-03-01
"EPSCoR/IDEA Office","2022-04",78826.38,2022-04-01
"EPSCoR/IDEA Office","2022-05",81278.41,2022-05-01
"EPSCoR/IDEA Office","2022-06",128957.32,2022-06-01
"EPSCoR/IDEA Office","2022-07",164070.37,2022-07-01
"EPSCoR/IDEA Office","2022-08",125422.51,2022-08-01
"EPSCoR/IDEA Office","2022-09",99688.79,2022-09-01
"EPSCoR/IDEA Office","2022-10",75391.74,2022-10-01
"EPSCoR/IDEA Office","2022-11",147858.98,2022-11-01
"EPSCoR/IDEA Office","2022-12",80789.25,2022-12-01
"EPSCoR/IDEA Office","2023-01",122279.21,2023-01-01
"EPSCoR/IDEA Office","2023-02",98320.48,2023-02-01
"EPSCoR/IDEA Office","2023-03",140009.54,2023-03-01
"EPSCoR/IDEA Office","2023-04",139853.32,2023-04-01
"EPSCoR/IDEA Office","2023-05",138434.73,2023-05-01
"EPSCoR/IDEA Office","2023-06",177044.35,2023-06-01
"EPSCoR/IDEA Office","2023-07",180984.78,2023-07-01
"EPSCoR/IDEA Office","2023-08",176684.46,2023-08-01
"EPSCoR/IDEA Office","2023-09",127513.49,2023-09-01
"EPSCoR/IDEA Office","2023-10",76834.34,2023-10-01
"EPSCoR/IDEA Office","2023-11",70970.75,2023-11-01
"EPSCoR/IDEA Office","2023-12",86624.15,2023-12-01
"EPSCoR/IDEA Office","2024-01",79829.38,2024-01-01
"EPSCoR/IDEA Office","2024-02",88525.61,2024-02-01
"EPSCoR/IDEA Office","2024-03",98288.92,2024-03-01
"EPSCoR/IDEA Office","2024-04",100092.43,2024-04-01
"EPSCoR/IDEA Office","2024-05",108911.28,2024-05-01
"EPSCoR/IDEA Office","2024-06",138927.37,2024-06-01
"EPSCoR/IDEA Office","2024-07",130983.33,2024-07-01
"EPSCoR/IDEA Office","2024-08",134085.33,2024-08-01
"EPSCoR/IDEA Office","2024-09",117490.89,2024-09-01
"EPSCoR/IDEA Office","2024-10",108292.88,2024-10-01
"EPSCoR/IDEA Office","2024-11",106137.02,2024-11-01
"EPSCoR/IDEA Office","2024-12",109625.2,2024-12-01
"EPSCoR/IDEA Office","2025-01",91276.18,2025-01-01
"EPSCoR/IDEA Office","2025-02",91789.77,2025-02-01
"EPSCoR/IDEA Office","2025-03",97626.43,2025-03-01
"EPSCoR/IDEA Office","2025-04",106503.37,2025-04-01
"EPSCoR/IDEA Office","2025-05",123404.79,2025-05-01
"EPSCoR/IDEA Office","2025-06",665.88,2025-06-01
"Economics","2021-07",8312.61,2021-07-01
"Economics","2021-08",5879.65,2021-08-01
"Economics","2021-09",4567.24,2021-09-01
"Economics","2021-10",5509.87,2021-10-01
"Economics","2021-11",4182.26,2021-11-01
"Economics","2021-12",3751.58,2021-12-01
"Economics","2022-01",4916.15,2022-01-01
"Economics","2022-02",2990.02,2022-02-01
"Economics","2022-03",2208.62,2022-03-01
"Economics","2022-04",2545.92,2022-04-01
"Economics","2022-05",14292.11,2022-05-01
"Economics","2022-06",11408.81,2022-06-01
"Economics","2022-07",6965.63,2022-07-01
"Economics","2022-08",2539.75,2022-08-01
"Economics","2022-09",5933.87,2022-09-01
"Economics","2022-10",3984.87,2022-10-01
"Economics","2022-11",2961.79,2022-11-01
"Economics","2022-12",17190.62,2022-12-01
"Economics","2023-01",1682.56,2023-01-01
"Economics","2023-02",5522.42,2023-02-01
"Economics","2023-03",3290.86,2023-03-01
"Economics","2023-04",17540.53,2023-04-01
"Economics","2023-05",30900.02,2023-05-01
"Economics","2023-06",22558.24,2023-06-01
"Economics","2023-07",15308.49,2023-07-01
"Economics","2023-08",104222.97,2023-08-01
"Economics","2023-09",4076.38,2023-09-01
"Economics","2023-10",2552.37,2023-10-01
"Economics","2023-11",8717.1,2023-11-01
"Economics","2023-12",5301.29,2023-12-01
"Economics","2024-01",6395.31,2024-01-01
"Economics","2024-02",4135.48,2024-02-01
"Economics","2024-03",2916.51,2024-03-01
"Economics","2024-04",7865.09,2024-04-01
"Economics","2024-05",28910.33,2024-05-01
"Economics","2024-06",750,2024-06-01
"Economics","2024-07",4489.53,2024-07-01
"Economics","2024-08",5036.06,2024-08-01
"Economics","2024-09",17633.77,2024-09-01
"Economics","2024-10",4587.52,2024-10-01
"Economics","2024-11",7980.96,2024-11-01
"Economics","2024-12",4111.79,2024-12-01
"Economics","2025-01",2340.91,2025-01-01
"Economics","2025-02",5209.45,2025-02-01
"Economics","2025-03",4639.46,2025-03-01
"Economics","2025-04",5358.93,2025-04-01
"Economics","2025-05",10957.96,2025-05-01
"Ecosystem Science & Management","2021-07",70719.93,2021-07-01
"Ecosystem Science & Management","2021-08",46041.58,2021-08-01
"Ecosystem Science & Management","2021-09",26693.08,2021-09-01
"Ecosystem Science & Management","2021-10",41689.27,2021-10-01
"Ecosystem Science & Management","2021-11",39259.28,2021-11-01
"Ecosystem Science & Management","2021-12",17056.19,2021-12-01
"Ecosystem Science & Management","2022-01",22778.54,2022-01-01
"Ecosystem Science & Management","2022-02",18962.11,2022-02-01
"Ecosystem Science & Management","2022-03",30756.36,2022-03-01
"Ecosystem Science & Management","2022-04",43446.44,2022-04-01
"Ecosystem Science & Management","2022-05",26798.81,2022-05-01
"Ecosystem Science & Management","2022-06",45506.23,2022-06-01
"Ecosystem Science & Management","2022-07",74523.98,2022-07-01
"Ecosystem Science & Management","2022-08",64186.62,2022-08-01
"Ecosystem Science & Management","2022-09",58101.06,2022-09-01
"Ecosystem Science & Management","2022-10",42053.85,2022-10-01
"Ecosystem Science & Management","2022-11",26643.94,2022-11-01
"Ecosystem Science & Management","2022-12",21175.62,2022-12-01
"Ecosystem Science & Management","2023-01",28082.91,2023-01-01
"Ecosystem Science & Management","2023-02",70710.44,2023-02-01
"Ecosystem Science & Management","2023-03",65308.17,2023-03-01
"Ecosystem Science & Management","2023-04",24397.11,2023-04-01
"Ecosystem Science & Management","2023-05",40389.86,2023-05-01
"Ecosystem Science & Management","2023-06",57549.04,2023-06-01
"Ecosystem Science & Management","2023-07",37132.43,2023-07-01
"Ecosystem Science & Management","2023-08",66250.39,2023-08-01
"Ecosystem Science & Management","2023-09",49545.07,2023-09-01
"Ecosystem Science & Management","2023-10",57733.34,2023-10-01
"Ecosystem Science & Management","2023-11",67531.81,2023-11-01
"Ecosystem Science & Management","2023-12",49495.48,2023-12-01
"Ecosystem Science & Management","2024-01",17459.72,2024-01-01
"Ecosystem Science & Management","2024-02",15809.93,2024-02-01
"Ecosystem Science & Management","2024-03",33818.63,2024-03-01
"Ecosystem Science & Management","2024-04",36008.08,2024-04-01
"Ecosystem Science & Management","2024-05",29633.55,2024-05-01
"Ecosystem Science & Management","2024-06",47595.53,2024-06-01
"Ecosystem Science & Management","2024-07",42018.87,2024-07-01
"Ecosystem Science & Management","2024-08",43505.95,2024-08-01
"Ecosystem Science & Management","2024-09",18642.08,2024-09-01
"Ecosystem Science & Management","2024-10",23839.64,2024-10-01
"Ecosystem Science & Management","2024-11",16327.35,2024-11-01
"Ecosystem Science & Management","2024-12",15422.92,2024-12-01
"Ecosystem Science & Management","2025-01",38625.82,2025-01-01
"Ecosystem Science & Management","2025-02",27201.61,2025-02-01
"Ecosystem Science & Management","2025-03",-50892.53,2025-03-01
"Ecosystem Science & Management","2025-04",17417.12,2025-04-01
"Ecosystem Science & Management","2025-05",28140.42,2025-05-01
"Ecosystem Science & Management","2025-06",242.76,2025-06-01
"Education Abroad","2025-05",1496.17,2025-05-01
"Educational Health Center of Wyoming","2021-07",4131.36,2021-07-01
"Educational Health Center of Wyoming","2021-08",2532.38,2021-08-01
"Educational Health Center of Wyoming","2021-09",5168.15,2021-09-01
"Educational Health Center of Wyoming","2021-10",6397.25,2021-10-01
"Educational Health Center of Wyoming","2021-11",23532.55,2021-11-01
"Educational Health Center of Wyoming","2021-12",3758.25,2021-12-01
"Educational Health Center of Wyoming","2022-01",6050.7,2022-01-01
"Educational Health Center of Wyoming","2022-02",6433.81,2022-02-01
"Educational Health Center of Wyoming","2022-03",1841.14,2022-03-01
"Educational Health Center of Wyoming","2022-04",2799.79,2022-04-01
"Educational Health Center of Wyoming","2022-05",4880.57,2022-05-01
"Educational Health Center of Wyoming","2022-06",2283.75,2022-06-01
"Educational Health Center of Wyoming","2022-07",1786.03,2022-07-01
"Educational Health Center of Wyoming","2022-08",1857.88,2022-08-01
"Educational Health Center of Wyoming","2022-09",1873.06,2022-09-01
"Educational Health Center of Wyoming","2022-10",10386.4,2022-10-01
"Educational Health Center of Wyoming","2022-11",1641.72,2022-11-01
"Educational Health Center of Wyoming","2022-12",1721.52,2022-12-01
"Educational Health Center of Wyoming","2023-01",1894.33,2023-01-01
"Educational Health Center of Wyoming","2023-02",1747.15,2023-02-01
"Educational Health Center of Wyoming","2023-03",4157.4,2023-03-01
"Educational Health Center of Wyoming","2023-04",1364.03,2023-04-01
"Educational Health Center of Wyoming","2023-05",32247.41,2023-05-01
"Educational Health Center of Wyoming","2023-06",265.12,2023-06-01
"Educational Health Center of Wyoming","2023-07",0,2023-07-01
"Educational Health Center of Wyoming","2023-08",0,2023-08-01
"Educational Health Center of Wyoming","2023-09",0,2023-09-01
"Educational Health Center of Wyoming","2023-11",3808,2023-11-01
"Educational Health Center of Wyoming","2024-02",2584,2024-02-01
"Educational Health Center of Wyoming","2024-06",112.86,2024-06-01
"Educational Health Center of Wyoming","2024-09",544.29,2024-09-01
"Educational Health Center of Wyoming","2024-10",272,2024-10-01
