"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"240482A0003AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",56266,207,2024-10-01,2025-04-26
"240482A0003AECS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240482A0003AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240482A0003B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",18072.5,215,2024-10-01,2025-05-04
"240482A0003C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240482A0003DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240482A0003H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240482A0003HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240482A0003L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",11781,219,2024-10-01,2025-05-08
"240482A0003LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240482A0003M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240482A0003MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240483A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,729,"Fall",12024,232,2024-10-01,2025-05-21
"240484A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,4,730,"Fall",0,277,2023-10-01,2024-07-04
"240484A0001AECS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",0,329,2023-10-01,2024-08-25
"240484A0001AFCS2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",0,329,2023-10-01,2024-08-25
"240484A0001D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240484A0001FCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,820,"Fall",0,317,2023-10-01,2024-08-13
"240484A0001FCS2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,820,"Fall",0,317,2023-10-01,2024-08-13
"240484A0001ICS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",10500,310,2023-10-01,2024-08-06
"240484A0001L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240484A0001LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,730,"Fall",0,327,2023-10-01,2024-08-23
"240484A0001M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240484A0001MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",0,329,2023-10-01,2024-08-25
"240484A0001VCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",0,329,2023-10-01,2024-08-25
"240484A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,729,"Fall",749507.18,68,2024-10-01,2024-12-08
"240484A0002A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002AD","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",7377,213,2024-10-01,2025-05-02
"240484A0002ADCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002ADCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",5000,228,2024-10-01,2025-05-17
"240484A0002AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002AECS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",5000,228,2024-10-01,2025-05-17
"240484A0002AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002AFCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002AFCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240484A0002AG","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002AGCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002CCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",733347,85,2024-10-01,2024-12-25
"240484A0002D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",40000,207,2024-10-01,2025-04-26
"240484A0002DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002ECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002FCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",17000,232,2024-10-01,2025-05-21
"240484A0002FCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",0,225,2024-10-01,2025-05-14
"240484A0002FCS2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",0,225,2024-10-01,2025-05-14
"240484A0002HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",13990.7,217,2024-10-01,2025-05-06
"240484A0002ICS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002ICS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002KCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",17000,232,2024-10-01,2025-05-21
"240484A0002L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240484A0002MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240484A0002VCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",17000,228,2024-10-01,2025-05-17
"240485A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240485A0001AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",2500,333,2023-10-01,2024-08-29
"240485A0001AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240485A0001AFCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",5000,323,2023-10-01,2024-08-19
"240485A0001L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",0,321,2023-10-01,2024-08-17
"240485A0001LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,730,"Fall",0,327,2023-10-01,2024-08-23
"240485A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,729,"Fall",508377.09,109,2024-10-01,2025-01-18
"240485A0002A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002AD","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002ADCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002AFCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002AG","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002AGCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",31275,197,2024-10-01,2025-04-16
"240485A0002CCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",10000,226,2024-10-01,2025-05-15
"240485A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",417877,122,2024-10-01,2025-01-31
"240485A0002D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240485A0002E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002ECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240485A0002H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",43966.91,206,2024-10-01,2025-04-25
"240485A0002HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240485A0002I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002ICS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240485A0002ICS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",0,223,2024-10-01,2025-05-12
"240485A0002KCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,729,"Fall",12000,231,2024-10-01,2025-05-20
"240485A0002L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240485A0002M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",0,204,2024-10-01,2025-04-23
"240485A0002MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,729,"Fall",12000,228,2024-10-01,2025-05-17
"240498A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",3,4,653,"Fall",11939,187,2024-09-15,2025-03-21
"240500A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,4,1279,"Spring",749924,28,2025-05-01,2025-05-29
"240533A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",6,6,2921,"Summer",0,105,2023-06-01,2023-09-14
"240549A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,4,2555,"Fall",14083,180,2024-09-01,2025-02-28
"240567A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,3,1038,"Fall",90000,146,2023-11-27,2024-04-21
