"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"250036A0002","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,273,"Spring",30540,23,2025-03-17,2025-04-09
"250048A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,729,"Spring",214623,40,2025-01-28,2025-03-09
"250048A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,4,729,"Spring",53656,65,2025-01-28,2025-04-03
"250061A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",9,7,1825,"Fall",156879,192,2024-10-01,2025-04-11
"250073A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,1094,"Fall",1,174,2024-09-01,2025-02-22
"250088A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,3,3277,"Fall",109351,128,2024-09-11,2025-01-17
"250119A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",2,7,439,"Fall",1,80,2024-12-16,2025-03-06
"250119A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",2,7,439,"Fall",52500,83,2024-12-16,2025-03-09
"250133A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,5,1825,"Fall",32964,257,2024-10-01,2025-06-15
"250133A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",32,5,1825,"Fall",32964,321,2024-10-01,2025-08-18
"250137A0001CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",3,6,516,"Summer",6906,123,2024-07-01,2024-11-01
"250154A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,7,154,"Spring",121875,25,2025-01-27,2025-02-21
"250176A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,364,"Spring",55795,36,2025-03-01,2025-04-06
"250254A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,456,"Fall",181696,44,2024-11-01,2024-12-15
"250256A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,5,1095,"Summer",20000,117,2025-06-01,2025-09-26
"250285A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,533,"Spring",298882,23,2025-04-15,2025-05-08
"250289A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,3,1794,"Fall",12000,119,2024-11-01,2025-02-28
"250345A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,5,1095,"Spring",30000,81,2025-04-07,2025-06-27
"250370A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,502,"Spring",31000,34,2025-02-17,2025-03-23
"250376A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,1736,"Spring",7350,264,2024-05-01,2025-01-20
"250403A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,122,"Spring",32588.14,19,2025-05-01,2025-05-20
"250407A0001","State","Federal","Award Project","UW Grant","Instruction - Sponsored",1,7,123,"Spring",11285.5,25,2025-05-01,2025-05-26
"250426A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,10,184,"Spring",85187,33,2025-01-29,2025-03-03
"250452A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",29,5,911,"Spring",210192.8,80,2025-02-27,2025-05-18
"250452A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,4,911,"Spring",52548.2,101,2025-02-27,2025-06-08
"250463A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,4,681,"Spring",4521,98,2025-02-18,2025-05-27
"250487A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,8,364,"Spring",4000,63,2025-03-01,2025-05-03
"250499A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,315,"Spring",20000,38,2025-02-19,2025-03-29
"250512A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,3,364,"Summer",5000,50,2025-06-01,2025-07-21
