"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"230620A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,6,913,"Summer",50436,152
"230686A0003","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,3,910,"Fall",937000,201
"230686A0004","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,3,910,"Fall",937000,201
"230755A0001A","Institutions of Higher Education","Federal","Award Project","UW Grant","Public Service - Sponsored",1,3,364,"Spring",114675.37,2
"230856A0002","State","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",2,3,1095,"Summer",285000,30
"230861A0004","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,5,325,"Summer",65000,52
"230861A0005","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,5,279,"Fall",45000,37
"231165A0002","Institutions of Higher Education","Federal","Award Project","UW Grant","Public Service - Sponsored",3,5,1095,"Spring",483256,3
"231165A0003","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,4,730,"Spring",348128,0
"231165A0004","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,4,180,"Spring",75000,106
"231173A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",13,5,365,"Spring",107870,12
"231252A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,8,729,"Summer",20000,14
"231278A0002","State","Federal","Award Project","UW Grant","Research - Sponsored",23,4,854,"Summer",112860,30
"231279A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,649,"Fall",120000,8
"231300A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,7,729,"Summer",263830,14
"231324A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,1328,"Fall",459756.95,98
"231412A0004","State","Federal","Award Project","UW Grant","Research - Sponsored",24,4,364,"Summer",60894,122
"231419A0004","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,364,"Fall",375000,33
"231435A0002","Institutions of Higher Education","Federal","Award Project","UW Grant","Public Service - Sponsored",2,7,1095,"Spring",90000,526
"231454A0004","State","Federal","Award Project","UW Grant","Public Service - Sponsored",32,8,364,"Fall",35492.78,30
"231487A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,5,1064,"Summer",54830.34,129
"231491A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,5,730,"Spring",20000,76
"231497A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,5,730,"Fall",276940,354
"231497A0002A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,730,"Fall",89054,354
"231513A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1460,"Summer",127817,85
"231514A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",4,6,987,"Spring",133802,103
"231514A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,6,987,"Spring",33450,108
"231520A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,3,1095,"Spring",214451,114
"231521A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",10,6,874,"Spring",2e+05,21
"231523A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,760,"Spring",427191,60
"231524A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,8,1095,"Summer",749696,5
"231526A0004","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,3,729,"Spring",1934841.92,10
"231526A0004A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,4,729,"Spring",90646.52,30
"231526A0004B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,4,729,"Spring",749259.59,2
"231526A0004C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,6,729,"Spring",293696.25,24
