"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"240021A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",4,4,1826,"Fall",68181.82,38
"240022A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,730,"Spring",56171,105
"240022A0001A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,820,"Spring",22000,116
"240022A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",4,5,820,"Spring",35000,150
"240025A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1095,"Summer",398251,58
"240027A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,6,546,"Fall",15404,309
"240040A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,5,874,"Spring",41372,173
"240041A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,5,1825,"Summer",599960,82
"240042A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,3,1774,"Summer",128000.37,15
"240042A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",12,3,1774,"Summer",2071.23,465
"240043A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,620,"Fall",2800,127
"240043A0001PC","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,5,620,"Fall",2200,209
"240048A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",13,3,1734,"Spring",5500,559
"240054A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,6,883,"Summer",25997,52
"240060A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",6,4,1430,"Summer",746376,61
"240080A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,6,306,"Summer",3750,78
"240083A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,1825,"Summer",298975,37
"240084A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",22,5,729,"Spring",90000,253
"240085A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,3,729,"Summer",188114,61
"240085A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,3,729,"Summer",111886,113
"240089A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",22,5,729,"Spring",90000,86
"240092A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,729,"Summer",609098.71,66
"240092A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,729,"Summer",242491.06,32
"240092A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,729,"Summer",148410.23,145
"240093A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,1825,"Spring",500931,90
"240095A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",1,5,914,"Summer",135000,100
"240097A0003A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,364,"Summer",10000,66
"240097A0003B","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,364,"Summer",80000,30
"240097A0003C","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,260,"Summer",97000,17
"240102A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,3,364,"Summer",142769.6,6
"240102A0002A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,5,364,"Summer",30230.4,70
"240103A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,5,364,"Summer",63937,334
"240108A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",173,6,1568,"Fall",540509,311
"240108A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",173,6,1568,"Fall",54051,351
"240110A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,791,"Fall",253560,108
"240115A0001","Non Profit/Foundation","Federal","Award Project","UW Grant","Research - Sponsored",22,6,1003,"Summer",596499,77
"240115A0001PC","Non Profit/Foundation","Federal","Award Project","UW Grant","Research - Sponsored",22,5,1003,"Summer",103500,289
"240116A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,1535,"Spring",499500,14
"240117A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1101,"Spring",189000,97
"240118A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",22,7,486,"Summer",257461,183
"240118A0001CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,486,"Summer",26285,121
"240118A0001CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",22,6,486,"Summer",18689,121
"240123A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,1709,"Summer",30000,41
"240123A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",5,4,1708,"Summer",845.4,186
"240124A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,729,"Summer",3e+05,78
"240127A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,3,1095,"Fall",1140000,195
"240129A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,6,1826,"Fall",42000,32
"240131A0002","State","Federal","Award Project","UW Grant","Research - Sponsored",12,3,329,"Summer",39678.2,26
"240135A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,3,730,"Fall",41750,317
"240137A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",11,5,822,"Summer",22973,206
"240138A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,6,883,"Summer",31500,550
"240140A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,6,1241,"Summer",199647,90
"240142A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,699,"Summer",406314,30
"240142A0002","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",11,6,699,"Summer",2e+05,28
"240142A0002A","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",11,6,297,"Fall",246038,24
"240142A0003","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,3,699,"Summer",309769.6,172
"240142A0004","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,3,675,"Summer",233060,36
"240142A0005","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,4,690,"Summer",508694,172
"240142A0006","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,5,711,"Summer",676080,60
"240142A0006A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,364,"Summer",114000,9
"240142A0007","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,711,"Summer",349000,48
"240142A0007A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,364,"Summer",80000,163
"240142A0008","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",5,5,640,"Fall",1170200,7
"240142A0009","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,10,711,"Summer",1203926,11
"240142A0010","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,3,675,"Summer",505512,97
"240142A0011","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,6,649,"Fall",943000,20
"240149A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",29,7,550,"Summer",164062.6,85
"240149A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,7,550,"Summer",54687.4,85
"240150A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,650,"Summer",18857,212
"240151A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,6,1096,"Fall",82454.52,320
"240155A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,5,792,"Summer",127500,18
"240158A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,1363,"Summer",30000,359
"240159A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,6,1460,"Fall",35379,148
"240160A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",12,5,1219,"Summer",94435,138
"240161A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,989,"Fall",250000,228
"240162A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,13,1460,"Spring",982174,121
"240163A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,5,1036,"Spring",32949.12,493
"240166A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,3,1734,"Summer",1e+05,121
"240167A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",337976.3,30
"240167A0001R1","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",61187.8,30
"240167A0001R2","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",62131,59
"240167A0001R3","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",59124,59
"240167A0001R4","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",59124,30
"240167A0001R4A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",59124,30
"240167A0001R5","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",67330.61,30
"240167A0001R6","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",42,5,730,"Spring",71650.94,30
"240169A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,4,821,"Spring",15000,193
"240175A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,4,770,"Summer",6e+05,2
"240177A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,5,1825,"Spring",129754,98
"240177A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",4,5,1915,"Spring",63810,275
"240178A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,1094,"Spring",114300,19
"240178A0001PC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,1184,"Spring",304200,19
"240179A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Public Service - Sponsored",3,7,973,"Fall",1e+06,79
"240180A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",4,6,1105,"Summer",131456,37
"240181A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,6,915,"Summer",2000,187
"240291A0002","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,5,730,"Fall",605629.56,159
"240318A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,685,"Summer",179905,97
"240319A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",29,5,548,"Summer",25000,444
"240319A0002","State","Federal","Award Project","UW Grant","Research - Sponsored",29,6,638,"Spring",60000,239
"240319A0003","State","Federal","Award Project","UW Grant","Research - Sponsored",29,4,640,"Spring",25000,432
"240319A0003A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,4,640,"Spring",12500,432
"240320A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,557,"Spring",122000,70
"240320A0003","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",24,4,557,"Spring",101000,24
"240322A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,6,1461,"Fall",374400,199
"240325A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,1461,"Fall",128948.68,47
"240326A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,3,729,"Spring",175000,24
"240336A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,710,"Fall",703682,1
"240337A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,4,724,"Fall",85209.06,83
"240339A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,1033,"Fall",14831.11,60
"240344A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,975,"Spring",6200,39
"240344A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1065,"Spring",5000,1
"240344A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1065,"Spring",5000,1
"240344A0001C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1065,"Spring",5000,1
"240344A0001D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1065,"Spring",5000,1
"240344A0001E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,4,1065,"Spring",5000,1
"240344A0001F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,1065,"Spring",5000,100
"240344A0001IR","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,1065,"Spring",6200,67
"240344A0001IRA","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,6,1065,"Spring",5000,121
"240344A0001IRB","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,6,1065,"Spring",5000,123
"240344A0001IRC","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,6,1065,"Spring",5000,81
"240344A0001IRD","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,6,1065,"Spring",5000,6
"240344A0001IRE","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,6,1065,"Spring",5000,17
"240344A0001IRF","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,1065,"Spring",5000,1
"240348A0002","State","Federal","Award Project","UW Grant","Research - Sponsored",29,4,364,"Fall",3e+05,150
"240350A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,1461,"Fall",102851,113
"240351A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,6,1341,"Summer",112000,245
"240351A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",7,5,1341,"Summer",1875,124
"240353A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,5,1341,"Summer",80000,276
"240353A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",7,3,1341,"Summer",1875,306
"240362A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,670,"Spring",27794,51
"240365A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,7,730,"Fall",97708,148
"240367A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,700,"Spring",8910,190
"240367A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",11,4,731,"Spring",686.31,244
"240371A0003","Non Profit/Foundation","Federal","Award Project","UW Grant","Public Service - Sponsored",1,3,303,"Fall",7250,211
"240374A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",4,3,1095,"Summer",462522,1
"240375A0001","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,668,"Fall",35689,376
"240378A0002","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,365,"Spring",25000,247
"240378A0002CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",7,3,365,"Spring",25000,124
"240378A0003","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,364,"Spring",25000,62
"240378A0003CS2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",7,3,364,"Spring",11000,62
"240378A0003CS3","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",7,3,364,"Spring",11000,62
"240379A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,4,1063,"Fall",25040,152
"240380A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",41204,335
"240380A0003A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",103009,270
"240380A0003B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",103009,365
"240380A0003C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",100230,114
"240380A0003D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",38457,102
"240380A0003E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",17855,365
"240380A0003F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,7,730,"Fall",8241,365
"240381A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",15,3,364,"Summer",61734,260
"240382A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,5,1826,"Fall",167785,0
"240385A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,1826,"Fall",120831,57
"240391A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,1429,"Summer",119995,619
"240396A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,4,851,"Fall",140598,90
"240398A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,5,341,"Spring",2284.04,96
"240400A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",23,5,1095,"Fall",40141,280
"240402A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,4,302,"Fall",174242,141
"240407A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,8,730,"Summer",287870,34
"240407A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,7,729,"Summer",150000,96
"240407A0002A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,7,729,"Summer",106300,184
"240409A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,1094,"Summer",31538,60
"240411A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,819,"Spring",40065.15,59
"240412A0001","State","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",2,6,639,"Summer",9824,175
"240413A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,4,1080,"Summer",131914,0
"240415A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,3,1811,"Summer",291930,168
"240421A0001","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,3,711,"Fall",160000,9
"240426A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,356,"Summer",361250,1
"240427A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,736,"Fall",100272,97
"240429A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,9,730,"Fall",2170233,31
"240430A0001","Industry","Federal","Award Project","UW Grant","Research - Sponsored",3,8,852,"Summer",5e+05,60
"240430A0003","Industry","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,461,"Fall",206000,96
"240435A0003","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,3,364,"Summer",30000,30
"240436A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,1094,"Spring",136254,60
"240442A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,8,1095,"Fall",358785,24
"240446A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,1094,"Summer",126251,307
"240446A0001PC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,4,1094,"Summer",279600,360
"240448A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",7,4,1094,"Summer",62000,77
"240449A0003","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",7,3,791,"Fall",35686.26,60
"240456A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",2,3,652,"Spring",4150,106
"240457A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,5,1826,"Fall",1796271,304
"240458A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,5,730,"Fall",47736,213
"240464A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,716,"Fall",290631,77
"240466A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,7,1826,"Fall",43951,488
"240469A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",11,4,364,"Summer",22500,61
"240470A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,8,1094,"Fall",2394081,125
"240471A0002","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",5,4,607,"Summer",16374,249
"240473A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,4,1094,"Fall",176671.62,63
"240475A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",6,8,729,"Summer",371025,36
"240480A0001","State","Federal","Award Project","UW Grant","Research - Sponsored",6,5,1217,"Spring",131310.4,74
"240480A0001A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,4,1217,"Spring",32827.6,74
"240482A0002A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",9957.76,304
"240482A0002AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",47570,304
"240482A0002D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",86926.24,212
"240482A0002DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",155687,304
"240482A0002HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",22500,304
"240482A0002L","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",75873,297
"240482A0002LCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,7,730,"Fall",15000,304
"240482A0002M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",43000,209
"240482A0002MCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",15000,304
"240482A0003D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,6,729,"Fall",26412.5,120
"240483A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,4,730,"Fall",18804,335
"240484A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",34300,304
"240484A0001AD","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",341805.53,281
"240484A0001ADCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",202000,304
"240484A0001ADCS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",55400,281
"240484A0001AE","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",352.52,377
"240484A0001AECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",135000,181
"240484A0001AF","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",116688.24,218
"240484A0001AFCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",178550,204
"240484A0001AG","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",42500,537
"240484A0001AGCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",43750,304
"240484A0001B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",60894.35,254
"240484A0001BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",75000,243
"240484A0001C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",26350.5,423
"240484A0001CCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",1e+05,304
"240484A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,5,730,"Fall",38835,304
"240484A0001DCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",54600,304
"240484A0001E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",11200,382
"240484A0001ECS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",30000,304
"240484A0001F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",220884.09,192
"240484A0001FCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",2e+05,304
"240484A0001H","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",428960.36,237
"240484A0001HCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",173,6,730,"Fall",110000,304
"240484A0001I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",173,5,730,"Fall",74699.41,346
